Time,Name,Latitude,Longitude,Speed
8/20/17 12:15 PM,ZHUANG YUAN AO,21.93492,-68.52387,12.2
8/20/17 12:15 PM,ZHEN ZHU WAN,2.711775,143.0108,10.8
8/20/17 12:15 PM,YUE LIANG WAN,0.0,0.0,0.0
8/20/17 12:15 PM,YELLOWFIN,29.34838,-94.76188,0.1
8/20/17 12:15 PM,VIVEKA,1.260317,103.6521,4.3
8/20/17 12:15 PM,THEODORA,57.31748,8.678683,6.4
8/20/17 12:15 PM,TERESA,26.23702,-79.92383,15.3
8/20/17 12:15 PM,TARPON,40.66071,-74.071,0.0
8/20/17 12:15 PM,TAI WO,35.1147,119.8735,10.0
8/20/17 12:15 PM,SUNPOWER,37.90363,23.0875,0.1
8/20/17 12:15 PM,STOLT FUJI,41.91813,6.417183,9.2
8/20/17 12:15 PM,STELLA VIRGO,53.91374,9.183779,0.0
8/20/17 12:15 PM,STELLA POLARIS,51.37738,-56.76566,15.2
8/20/17 12:15 PM,SOFIA,35.88003,14.49721,0.0
8/20/17 12:15 PM,SKIPJACK,29.9684,-90.25165,0.3
8/20/17 12:15 PM,SEAPOWER,40.44847,19.48452,0.0
8/20/17 12:15 PM,SAO DOMINGOS SAVIO,-5.515337,-81.74259,10.6
8/20/17 12:15 PM,SAN DU AO,43.37807,-147.3971,12.3
8/20/17 12:15 PM,SAN BEATO,36.57672,-6.32635,0.0
8/20/17 12:15 PM,SAN BACCO,56.80113,7.704633,11.4
8/20/17 12:15 PM,REBECCA LYNN,43.24341,-86.24409,0.0
8/20/17 12:15 PM,PING HAI WAN,21.01921,111.0854,11.5
8/20/17 12:15 PM,PENG HU WAN,24.0545,118.6198,12.3
8/20/17 12:15 PM,PATHFINDER,40.77027,-73.85048,0.0
8/20/17 12:15 PM,PANDION,53.47967,9.959167,0.0
8/20/17 12:15 PM,PALANCA SYDNEY,-21.02476,153.8631,9.2
8/20/17 12:15 PM,PALANCA SINGAPORE,11.77386,-70.26635,0.0
8/20/17 12:15 PM,PALANCA RIO,13.76995,-59.81588,13.1
8/20/17 12:15 PM,PALANCA MUSCAT,21.30603,38.12566,12.4
8/20/17 12:15 PM,PALANCA MONTEVIDEO,36.51941,-6.253865,0.0
8/20/17 12:15 PM,PALANCA MIAMI,25.19147,56.53333,0.0
8/20/17 12:15 PM,PALANCA MAPUTO,-34.18901,151.3862,0.5
8/20/17 12:15 PM,PALANCA LUANDA,37.14023,-76.14596,10.9
8/20/17 12:15 PM,PALANCA CADIZ,-34.15071,-58.93281,0.0
8/20/17 12:15 PM,OCEAN WORLD,33.67654,126.7202,12.6
8/20/17 12:15 PM,NORTH SEA,29.84648,-93.97043,0.0
8/20/17 12:15 PM,NING HAI WAN,21.27157,-82.69427,11.6
8/20/17 12:15 PM,NEWLEAD GRANADINO,0.0,0.0,0.0
8/20/17 12:15 PM,NEPHELI,37.95085,23.54728,0.0
8/20/17 12:15 PM,MISS GILL,36.87949,-76.35044,0.1
8/20/17 12:15 PM,MARY E HANNAH,41.71099,-87.54129,0.1
8/20/17 12:15 PM,MARONI,6.09077,1.284275,0.3
8/20/17 12:15 PM,MAKO,32.1101,-81.12363,0.0
8/20/17 12:15 PM,LUCKY D,36.83672,-76.27094,0.0
8/20/17 12:15 PM,LINDA LEE BOUCHARD,24.3421,-82.22272,8.4
8/20/17 12:15 PM,LEO ASPHALT I,12.6429,101.3061,0.0
8/20/17 12:15 PM,LEO A.MCARTHUR,49.08959,-64.3671,6.2
8/20/17 12:15 PM,LAGAN,36.14254,-6.309322,0.2
8/20/17 12:15 PM,KATERINA L,37.96069,23.57545,0.0
8/20/17 12:15 PM,KAREN PAPE,29.36327,-94.91186,0.0
8/20/17 12:15 PM,KAREN ANDRIE,43.13743,-86.95884,10.3
8/20/17 12:15 PM,JAYA OCEAN,33.68205,126.7346,14.8
8/20/17 12:15 PM,JANESIA ASPHALT VI,12.37195,101.3222,11.1
8/20/17 12:15 PM,JANESIA ASPHALT V,-32.03377,115.6657,0.1
8/20/17 12:15 PM,JANESIA ASPHALT IV,1.253283,104.1245,11.0
8/20/17 12:15 PM,IVER EXACT,12.21145,-69.45672,13.2
8/20/17 12:15 PM,IVER BRILLIANT,37.22473,15.20931,0.1
8/20/17 12:15 PM,IVER BRIGHT,37.22335,15.21216,0.1
8/20/17 12:15 PM,IVER BLESSING,27.59793,-96.6497,12.7
8/20/17 12:15 PM,IVER BITUMEN,36.60549,15.15875,11.2
8/20/17 12:15 PM,IVER BEST,34.9247,33.64323,0.0
8/20/17 12:15 PM,IVER BEAUTY,2.44008,105.0001,12.2
8/20/17 12:15 PM,IVER BALANCE,37.22175,15.20107,0.1
8/20/17 12:15 PM,IVER AMBITION,-6.3514,-5.69245,10.3
8/20/17 12:15 PM,IVER AGILE,20.73203,-93.401,12.3
8/20/17 12:15 PM,IVER ACTION,37.21246,15.19259,0.3
8/20/17 12:15 PM,IVER ABILITY,49.26023,-7.134567,12.9
8/20/17 12:15 PM,HERBANIA,41.09607,1.216077,0.0
8/20/17 12:15 PM,GULF STREAM,33.66618,-118.1234,0.0
8/20/17 12:15 PM,FU NING WAN,21.56359,108.638,12.4
8/20/17 12:15 PM,FENG HUANG AO,-5.670905,-34.85188,15.3
8/20/17 12:15 PM,FANG CHENG GANG,37.07243,126.2195,0.2
8/20/17 12:15 PM,EVERLAST,44.93555,-75.05131,7.4
8/20/17 12:15 PM,ELIZABETH ANNE,40.66955,-74.03031,0.3
8/20/17 12:15 PM,DISCOVERY COAST,37.56601,-76.16682,9.5
8/20/17 12:15 PM,DAMIA DESGAGNES,45.52826,-73.54215,0.0
8/20/17 12:15 PM,DA PENG WAN,23.08414,113.4814,0.0
8/20/17 12:15 PM,DA MING SHAN,33.60855,-75.81516,11.3
8/20/17 12:15 PM,DA HUA SHAN,11.77296,-70.28753,0.2
8/20/17 12:15 PM,CPO RUSSIA,39.95325,0.02136667,0.0
8/20/17 12:15 PM,COSMIC 8,-6.096537,106.9304,0.0
8/20/17 12:15 PM,COSMIC 5,-8.389221,115.8479,6.3
8/20/17 12:15 PM,COSMIC 3,1.010038,103.9377,0.0
8/20/17 12:15 PM,COSMIC 20,0.0255,109.2491,0.0
8/20/17 12:15 PM,COSMIC 11,1.030595,104.1201,0.0
8/20/17 12:15 PM,COHO,46.50923,-53.51578,10.7
